,,ID,DATE ,VENTES P1 ,DEMANDE P1,VENTES P2,DEMANDE P2,VENTES P3,DEMANDE P3,VENTES P4,DEMANDE P4
,,755,24/01/2022,"689,76","757,182902232779","1224,76","1038,78462768196","894,5","1076,34155455904",332,"168,766666666667"
,,756,25/01/2022,"720,28","790,68618188968","1219,62","1034,42511807494","918,5","1105,22047832586","155,5","79,0458333333334"
,,757,26/01/2022,"746,5","819,469143639482","1613,7","1368,66549666087","569,5","685,272795216741",141,"71,6750000000001"
,,758,27/01/2022,"887,68","974,449255761414","1546,12","1311,34727501847",627,"754,461883408071",192,"97,6000000000001"
,,759,28/01/2022,"607,28","666,640618284507","1139,42","966,40319774762",800,"962,630792227204","261,5","132,929166666667"
,,760,29/01/2022,"552,34","606,330323908683","1117,3","947,642039672303","417,7","502,613602391629",131,"66,5916666666667"
,,761,30/01/2022,0,0,"28,24","23,9518582299703",0,0,"26,5","13,4708333333333"
,,762,31/01/2022,"525,88","577,283902554763","1221,72","1036,20624067703",1058,"1273,07922272048",247,"125,558333333333"
,,763,01/02/2022,"720,36","790,774001757719","1472,06","1248,53301791821",637,"766,494768310912",108,"54,9"
,,764,02/02/2022,"803,48","882,018844650303","1173,9","995,647534566649",614,"738,819133034379","288,5","146,654166666667"
,,765,03/02/2022,"637,76","700,099988007389","1393,74","1182,10562639656",726,"873,587443946188",112,"56,9333333333334"
,,766,04/02/2022,"695,72","763,725482401688","1480,66","1255,82713905056",660,"794,170403587444","224,5","114,120833333333"
,,767,05/02/2022,"748,84","822,037874779624","1227,7","1041,27819932488","444,5","534,861733931241",42,"21,35"
,,768,06/02/2022,0,0,0,0,"55,5","66,7825112107623",0,0
,,769,07/02/2022,"579,94","636,628178382158","1383,6","1173,50534868934","969,5","1166,58819133034","196,5","99,8875000000001"
,,770,08/02/2022,"746,14","819,073954233306","1385,86","1175,42217587063","838,5","1008,95739910314","156,5","79,5541666666667"
,,771,09/02/2022,"554,2","608,372135840591","1527,94","1295,92784220612",711,"855,538116591928",210,"106,75"
,,772,10/02/2022,"691,54","759,136894296647","1332,98","1130,57181244284",770,"926,532137518684","110,5","56,1708333333334"
,,773,11/02/2022,"669,44","734,876655750857","1408,3","1194,45474310436",501,"602,847533632287",239,"121,491666666667"
,,774,12/02/2022,"748,88","822,081784713644","1216,74","1031,98243564922","459,5","552,911061285501",257,"130,641666666667"
,,775,13/02/2022,0,0,0,0,45,"54,1479820627803",28,"14,2333333333333"
,,776,14/02/2022,"723,38","794,089201776194","1276,92","1083,02432050332","1036,5","1247,20852017937","223,5","113,6125"
,,777,15/02/2022,"606,76","666,069789142253","1699,36","1441,31833575363","695,5","836,887144992526","131,5","66,8458333333334"
,,778,16/02/2022,"720,12","790,510542153602","1417,24","1202,03723646753",695,"836,285500747384",394,"200,283333333333"
,,779,17/02/2022,"637,26","699,551113832145","1084,6","919,907416296948","834,5","1004,144245142",192,"97,6000000000001"
